name,category,keywords,description,recommended_styles,recommended_palettes
SaaS Dashboard,saas,"dashboard,analytics,admin,panel,metrics","Multi-tenant dashboard with metrics, charts, tables","Minimalism,Dark Mode,Bento Grid","SaaS Professional,Minimal Tech"
E-commerce Store,ecommerce,"shop,cart,checkout,products,payments","Online store with product catalog and checkout","Minimalism,Glassmorphism","E-commerce Energy,SaaS Professional"
FinTech App,fintech,"banking,payments,wallet,investing,trading","Financial app with transactions, accounts, security","Dark Mode,Minimalism","FinTech Trust,Minimal Tech"
Healthcare Portal,healthcare,"patient,records,appointments,telemedicine","Patient portal with records and appointments","Minimalism,Organic Shapes","Healthcare Calm,SaaS Professional"
Developer Tools,developer,"api,cli,sdk,documentation,IDE","Tools for developers: APIs, CLIs, docs","Dark Mode,Minimal Tech,Minimalism","Developer Tools,Minimal Tech"
Creative Portfolio,creative,"portfolio,showcase,gallery,case-studies","Designer/developer portfolio with projects","Bento Grid,Glassmorphism,Aurora UI","Creative Portfolio,Minimal Tech"
Enterprise CRM,enterprise,"crm,sales,leads,pipeline,contacts","Customer relationship management for sales","Minimalism,Bento Grid,Dark Mode","Enterprise Serious,Minimal Tech"
Project Management,productivity,"tasks,projects,kanban,gantt,team","Task and project management with boards","Minimalism,Bento Grid,Dark Mode","SaaS Professional,Minimal Tech"
Learning Platform,education,"courses,lessons,progress,certificates","E-learning platform with courses and progress","Organic Shapes,Minimalism","Education Friendly,Healthcare Calm"
Marketing Landing,marketing,"landing,hero,features,pricing,testimonials","Conversion-focused marketing page","Glassmorphism,Aurora UI,Bento Grid","SaaS Professional,Startup Vibrant"
Mobile App,app,"mobile,ios,android,responsive,native","Mobile-first application","Minimalism,Claymorphism,Organic Shapes","SaaS Professional,Creative Portfolio"
Design System,tools,"components,tokens,documentation,storybook","Design system documentation and components","Minimalism,Dark Mode","Minimal Tech,Developer Tools"
Internal Admin,admin,"admin,internal,management,operations","Internal admin panel for operations","Minimalism,Bento Grid,Dark Mode","Minimal Tech,SaaS Professional"
Analytics Platform,analytics,"analytics,bi,reporting,visualization","Business intelligence and reporting","Minimalism,Dark Mode,Bento Grid","SaaS Professional,Minimal Tech"
Collaboration Tool,productivity,"collaboration,chat,comments,realtime","Real-time collaboration features","Minimalism,Glassmorphism","SaaS Professional,Minimal Tech"
