name,use_case,library,accessibility_notes,description
Line Chart,"trends over time, continuous data",Recharts,"Provide data table alternative, describe trend in text","Best for showing changes over time"
Bar Chart,"comparisons, categorical data",Recharts,"Label bars directly, provide value labels","Best for comparing discrete categories"
Area Chart,"volume over time, cumulative data",Recharts,"Use transparency for overlapping areas","Best for showing volume/magnitude over time"
Sparkline,"inline trends, dashboard KPIs",Recharts,"Minimal: no axes, provide context in label","Tiny charts for dashboard metrics"
Pie Chart,"part-to-whole, few categories (<5)",Recharts,"Label slices directly, avoid for >5 categories","Best for simple proportions"
Donut Chart,"part-to-whole with center metric",Recharts,"Center label for total, slice labels","Pie variant with center space for key metric"
Scatter Plot,"correlation, distribution",Recharts,"Provide trend line, describe pattern in text","Best for showing relationships between variables"
Heatmap,"density, calendar, correlation matrix",Recharts,"Text values in cells, colorblind-safe palette","Best for matrix data and patterns"
Radar Chart,"multi-dimensional comparison",Recharts,"Label axes clearly, limit to 6-8 dimensions","Best for comparing profiles across dimensions"
Funnel Chart,"conversion, drop-off analysis",Recharts,"Label each stage with count and rate","Best for pipeline/conversion visualization"
Gauge Chart,"single metric vs target",Recharts,"Show current value, target, and ranges","Best for KPI dashboards with targets"
Treemap,"hierarchical part-to-whole",Recharts,"Label rectangles, provide tooltip details","Best for nested categorical data"
Sunburst Chart,"hierarchical radial",Recharts,"Label segments, keyboard navigable","Best for hierarchical data exploration"
Sankey Diagram,"flow, transitions between states",Recharts,"Label nodes and links, describe flow","Best for user journeys and state transitions"
Candlestick Chart,"financial OHLC data",Recharts,"Provide data table, describe patterns","Best for stock/financial data"
Waterfall Chart,"cumulative positive/negative",Recharts,"Color code positive/negative, label totals","Best for financial bridge charts"
Bullet Chart,"performance vs target",Recharts,"Show target marker, qualitative ranges","Best for dashboard KPI targets"
Polar Area Chart,"cyclical data, seasons",Recharts,"Label angles, describe cycle","Best for periodic/cyclical data"
Box Plot,"distribution, outliers",Recharts,"Label quartiles, whiskers, outliers","Best for statistical distribution"
Violin Plot,"distribution density",Recharts,"Show median, quartiles, density shape","Best for comparing distributions"
Calendar Heatmap,"activity over time",Recharts,"Tooltip with date and value","Best for GitHub-style activity grids"
Chord Diagram,"relationships between entities",Recharts,"Label arcs, describe connections","Best for network/migration flows"
Parallel Coordinates,"multi-dimensional profiling",Recharts,"Label axes, highlight selections","Best for high-dimensional data"
Horizon Chart,"dense time series comparison",Recharts,"Band colors, provide legend","Best for many time series in small space"
Streamgraph,"stacked area over time",Recharts,"Label layers, show total","Best for organic flow visualization"
