condition,prefer_style,prefer_palette,prefer_typography,prefer_charts,prefer_landing,reasoning
"saas AND dashboard",Minimalism,"SaaS Professional","Manrope + JetBrains Mono","Line Chart,Bar Chart,Sparkline","Hero + Features","Clean dashboard needs minimal style with professional blue"
"saas AND minimal",Minimalism,"Minimal Tech","Manrope + JetBrains Mono","Sparkline,Bar Chart","Minimalist","Minimal tech brand needs minimal style with brand palette"
"fintech",Dark Mode,"FinTech Trust","Manrope + JetBrains Mono","Line Chart,Area Chart,Gauge Chart","Hero + Features","Finance needs trust, security, dark mode for data density"
"healthcare",Minimalism,"Healthcare Calm","DM Sans + JetBrains Mono","Bar Chart,Line Chart","Problem-Solution","Healthcare needs calm, accessible, friendly"
"developer AND tools",Dark Mode,"Developer Tools","Manrope + JetBrains Mono","Sparkline,Bar Chart","Interactive Demo","Dev tools need dark mode, technical fonts, live demos"
"creative AND portfolio",Bento Grid,"Creative Portfolio","Space Grotesk + JetBrains Mono","Area Chart","Video-First","Creative needs visual distinction, grid layouts"
"enterprise AND crm",Minimalism,"Enterprise Serious","Inter + JetBrains Mono","Bar Chart,Funnel Chart","Comparison","Enterprise needs serious, trustworthy, comparison"
"ecommerce",Minimalism,"E-commerce Energy","Plus Jakarta Sans + JetBrains Mono","Funnel Chart,Bar Chart","Pricing-First","E-commerce needs conversion, urgency, clear pricing"
"education",Organic Shapes,"Education Friendly","Outfit + JetBrains Mono","Line Chart,Progress Chart","Storytelling","Education needs friendly, progressive, narrative"
"mobile AND app",Claymorphism,"SaaS Professional","DM Sans + JetBrains Mono","Sparkline,Gauge Chart","Minimalist","Mobile needs touch-friendly, clean, minimal"
"analytics",Minimalism,"Minimal Tech","Manrope + JetBrains Mono","Line Chart,Area Chart,Heatmap","Hero + Features","Analytics needs data density, minimal chrome"
"landing AND marketing",Glassmorphism,"SaaS Professional","Plus Jakarta Sans + JetBrains Mono","Bar Chart","Hero + Features","Marketing needs visual appeal, conversion"
"admin AND internal",Minimalism,"Minimal Tech","Manrope + JetBrains Mono","Bar Chart,Table","Hero + Features","Internal tools need efficiency, minimal distraction"
"collaboration",Glassmorphism,"SaaS Professional","Inter + JetBrains Mono","Line Chart","Interactive Demo","Collaboration needs real-time feel, transparency"
"design AND system",Minimalism,"Minimal Tech","Manrope + JetBrains Mono","Sparkline","Minimalist","Design systems need extreme clarity, consistency"
