id,category,priority,rule,rationale,example_good,example_bad
1,Accessibility,CRITICAL,"Contrast ratio ≥ 4.5:1 for normal text (AA)","WCAG 2.2 1.4.3 - ensures readability for low vision","#1F2328 on #FFFFFF (12.6:1)","#9CA3AF on #FFFFFF (2.5:1)"
2,Accessibility,CRITICAL,"Alt text for all meaningful images","WCAG 1.1.1 - screen readers need image descriptions","alt='Bar chart showing 40% increase'","alt='chart.png' or missing"
3,Accessibility,CRITICAL,"Keyboard accessible: all interactive elements reachable and operable","WCAG 2.1.1 - motor impaired users navigate by keyboard","<button> with native Enter/Space","<div onclick> without tabindex/role"
4,Accessibility,CRITICAL,"Visible focus indicators on all interactive elements","WCAG 2.4.7 - keyboard users must see focus","focus-visible:ring-2 focus-visible:ring-rojo","*:focus { outline: none }"
5,Accessibility,CRITICAL,"ARIA labels on icon-only buttons","WCAG 4.1.2 - screen readers need accessible names","<button aria-label='Close'><X/></button>","<button><X/></button>"
6,Accessibility,CRITICAL,"Page language specified (lang attribute)","WCAG 3.1.1 - screen readers use correct pronunciation","<html lang='es'>","<html>"
7,Accessibility,CRITICAL,"Proper heading structure (h1-h6, no skipping)","WCAG 1.3.1 - screen readers navigate by headings","h1 → h2 → h3","h1 → h3 (skips h2)"
8,Accessibility,CRITICAL,"Live regions for dynamic content (toasts, alerts)","WCAG 4.1.3 - announce changes without focus move","aria-live='polite' on toast container","Toast appears silently"
9,Accessibility,CRITICAL,"Form labels programmatically associated","WCAG 3.3.2 - screen readers announce label with input","<label for='email'>Email</label><input id='email'>","<input placeholder='Email'>"
10,Accessibility,CRITICAL,"Error identification and suggestions","WCAG 3.3.1, 3.3.3 - users must understand and fix errors","Inline error with 'Enter valid email'","Red border only, no message"
11,Touch,CRITICAL,"Minimum 44×44px touch targets","WCAG 2.5.8 (AA) - finger-sized targets","min-h-[44px] min-w-[44px] on buttons","24×24px icon button"
12,Touch,CRITICAL,"8px+ spacing between adjacent touch targets","Prevents accidental activation","gap-2 (8px) between buttons","Buttons touching"
13,Touch,CRITICAL,"Loading feedback for async actions >200ms","Users need confirmation action received","Spinner + disabled state on submit","No feedback, user clicks again"
14,Touch,CRITICAL,"No hover-only functionality","Touch devices have no hover","Dropdown opens on click/tap","Dropdown only on :hover"
